,Title,Artist,Year,Rank
244,Home,Phillip Phillips,2013,46
245,It's Time,Imagine Dragons,2013,47
246,Power Trip,J. Cole Featuring Miguel,2013,48
247,Girl On Fire,Alicia Keys Featuring Nicki Minaj,2013,49
248,Heart Attack,Demi Lovato  ,2013,50
249,Love Somebody,Maroon 5,2013,51
250,I Will Wait,Mumford & Sons,2013,52
251,Try,P!nk,2013,53
252,Wagon Wheel,Darius Rucker,2013,54
253,Gangnam Style,PSY,2013,55
254,I Need Your Love,Calvin Harris Featuring Ellie Goulding,2013,56
255,Die Young,Ke$ha,2013,57
256,Some Nights,fun.,2013,58
257,Bad,Wale Featuring Tiara Thomas Or Rihanna,2013,59
258,Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends,2013,60
259,"Gone, Gone, Gone",Phillip Phillips,2013,61
260,Demons,Imagine Dragons,2013,62
261,Counting Stars,OneRepublic,2013,63
262,I Cry,Flo Rida,2013,64
263,Little Talks,Of Monsters And Men,2013,65
264,The Other Side,Jason Derulo,2013,66
265,Berzerk,Eminem,2013,67
266,Catch My Breath,Kelly Clarkson,2013,68
267,Crash My Party,Luke Bryan,2013,69
268,Pour It Up,Rihanna,2013,70
269,22,Taylor Swift,2013,71
270,I Want Crazy,Hunter Hayes,2013,72
271,The Fox,Ylvis,2013,73
272,Best Song Ever,One Direction,2013,74
273,The A Team,Ed Sheeran,2013,75
274,Carry On,fun.,2013,76
275,Highway Don't Care,Tim McGraw With Taylor Swift,2013,77
276,That's My Kind Of Night,Luke Bryan,2013,78
277,Swimming Pools (Drank),Kendrick Lamar,2013,79
278,Sure Be Cool If You Did,Blake Shelton,2013,80
279,#Beautiful,Mariah Carey Featuring Miguel,2013,81
280,Troublemaker,Olly Murs Featuring Flo Rida,2013,82
281,Body Party,Ciara,2013,83
282,Adorn,Miguel,2013,84
283, Hall Of Fame,The Script Featuring will.i.am,2013,85
284,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2013,86
285,U.O.E.N.O.,Rocko Featuring Future & Rick Ross,2013,87
286,Next To Me,Emeli Sande,2013,88
287,Mama's Broken Heart,Miranda Lambert,2013,89
288,It Goes Like This,Thomas Rhett,2013,90
289,Bugatti,Ace Hood Featuring Future & Rick Ross,2013,91
290,Wanted,Hunter Hayes,2013,92
